xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx        0
00001111111111111000        0
00001111111111111000       16
00001111111111101100       16
00001111111111101100       32
00001111111111010010       32
00001111111111010010       48
00001111111110100110       48
00001111111110100110       64
00001111111101001010       64
00001111111101001010       80
00001111111011111010       80
00001111111011111010       96
00001111111010011010       96
00001111111010011010      112
00001111111000101000      112
00001111111000101000      128
00001111110101100000      128
00001111110101100000      144
00001111110011001000      144
00001111110011001000      160
00001111110000011110      160
00001111110000011110      176
00001111101101100110      176
00001111101101100110      192
00001111101010011101      192
00001111101010011101      208
00001111100101010100      208
00001111100101010100      224
00001111100001100101      224
00001111100001100101      240
00001111011101100111      240
00001111011101100111      256
00001111010111001001      256
00001111010111001001      272
00001111010010100100      272
00001111010010100100      288
00001111001101110000      288
00001111001101110000      304
00001111001000111001      304
00001111001000111001      320
00001111000000111000      320
00001111000000111000      336
00001110111011010000      336
00001110111011010000      352
00001110110101010110      352
00001110110101010110      368
00001110101111010000      368
00001110101111010000      384
00001110100101101010      384
00001110100101101010      400
00001110011111000001      400
00001110011111000001      416
00001110011000001001      416
00001110011000001001      432
00001110010001000010      432
00001110010001000010      448
00001110000101111100      448
00001110000101111100      464
00001101111110001111      464
00001101111110001111      480
00001101110110010111      480
00001101110110010111      496
00001101101110010000      496
00001101101110010000      512
00001101100001101101      512
00001101100001101101      528
00001101011001100111      528
00001101011001100111      544
00001101010000110001      544
00001101010000110001      560
00001101000111101111      560
00001101000111101111      576
00001100111001110001      576
00001100111001110001      592
00001100110000001110      592
00001100110000001110      608
00001100100110011110      608
00001100100110011110      624
00001100011100100001      624
00001100011100100001      640
00001100010010011100      640
00001100010010011100      656
00001100000010111001      656
00001100000010111001      672
00001011111000010010      672
00001011111000010010      688
00001011101101011111      688
00001011101101011111      704
00001011011100111010      704
00001011011100111010      720
00001011010110010110      720
00001011010110010110      736
00001011000101001111      736
00001011000101001111      752
00001010111001100111      752
00001010111001100111      768
00001010101101110101      768
00001010101101110101      784
00001010100001110111      784
00001010100001110111      800
00001010001111101001      800
00001010001111101001      816
00001010000011010111      816
00001010000011010111      832
00001001110110110110      832
00001001110110110110      848
00001001101010001100      848
00001001101010001100      864
00001001010110111000      864
00001001010110111000      880
00001001001001110110      880
00001001001001110110      896
00001000111100101001      896
00001000111100101001      912
00001000101111010101      912
00001000101111010101      928
00001000100010110010      928
00001000100010110010      944
00001000001110010111      944
00001000001110010111      960
00001000000000100101      960
00001000000000100101      976
00000111110010101011      976
00000111110010101011      992
00000111011101100110      992
00000111011101100110     1008
00000111001111011000     1008
00000111001111011000     1024
00000111000001000100     1024
00000111000001000100     1040
00000110110010110000     1040
00000110110010110000     1056
00000110100100001111     1056
00000110100100001111     1072
00000110001110010000     1072
00000110001110010000     1088
00000101111111011111     1088
00000101111111011111     1104
00000101110000100111     1104
00000101110000100111     1120
00000101011010000111     1120
00000101011010000111     1136
00000101001011000010     1136
00000101001011000010     1152
00000100111100100001     1152
00000100111100100001     1168
00000100101101010010     1168
00000100101101010010     1184
00000100010110010001     1184
00000100010110010001     1200
00000100000110110111     1200
00000100000110110111     1216
00000011110111011000     1216
00000011110111011000     1232
00000011100111110100     1232
00000011100111110100     1248
00000011010000011011     1248
00000011010000011011     1264
00000011000000110110     1264
00000011000000110110     1280
00000010110001001000     1280
00000010110001001000     1296
00000010100001010101     1296
00000010100001010101     1312
00000010001001100111     1312
00000010001001100111     1328
00000001111001110000     1328
00000001111001110000     1344
00000001101001110111     1344
00000001101001110111     1360
00000001011001111110     1360
00000001011001111110     1376
00000001001011000110     1376
00000001001011000110     1392
00000000110011001100     1392
00000000110011001100     1408
00000000100011001101     1408
00000000100011001101     1424
00000000010011001111     1424
00000000010011001111     1440
11111111111011001110     1440
11111111111011001110     1456
11111111101100110001     1456
11111111101100110001     1472
11111111011100110011     1472
11111111011100110011     1488
11111111001100110100     1488
11111111001100110100     1504
11111110110100111010     1504
11111110110100111010     1520
11111110100110000010     1520
11111110100110000010     1536
11111110010110001001     1536
11111110010110001001     1552
11111110000110010000     1552
11111110000110010000     1568
11111101101110011110     1568
11111101101110011110     1584
11111101011110101011     1584
11111101011110101011     1600
11111101001110111000     1600
11111101001110111000     1616
11111100111111001010     1616
11111100111111001010     1632
11111100101111100101     1632
11111100101111100101     1648
11111100011000001100     1648
11111100011000001100     1664
11111100001000101000     1664
11111100001000101000     1680
11111011111001001001     1680
11111011111001001001     1696
11111011100010000010     1696
11111011100010000010     1712
11111011010010101110     1712
11111011010010101110     1728
11111011000011011111     1728
11111011000011011111     1744
11111010110100111110     1744
11111010110100111110     1760
11111010011110010110     1760
11111010011110010110     1776
11111010001111011001     1776
11111010001111011001     1792
11111010000000100001     1792
11111010000000100001     1808
11111001110001110000     1808
11111001110001110000     1824
11111001011011110001     1824
11111001011011110001     1840
11111001001101010000     1840
11111001001101010000     1856
11111000111110111100     1856
11111000111110111100     1872
11111000110000101000     1872
11111000110000101000     1888
11111000011011010111     1888
11111000011011010111     1904
11111000001101010101     1904
11111000001101010101     1920
11110111111111011011     1920
11110111111111011011     1936
11110111110001101001     1936
11110111110001101001     1952
11110111011101001110     1952
11110111011101001110     1968
11110111010000101011     1968
11110111010000101011     1984
11110111000011010111     1984
11110111000011010111     2000
11110110110110001010     2000
11110110110110001010     2016
11110110100010101000     2016
11110110100010101000     2032
11110110010101110100     2032
11110110010101110100     2048
11110110001001001010     2048
11110110001001001010     2064
11110101111100101001     2064
11110101111100101001     2080
11110101110000010111     2080
11110101110000010111     2096
11110101011110001001     2096
11110101011110001001     2112
11110101010010001011     2112
11110101010010001011     2128
11110101000110011001     2128
11110101000110011001     2144
11110100110101000010     2144
11110100110101000010     2160
11110100101110010110     2160
11110100101110010110     2176
11110100011101100001     2176
11110100011101100001     2192
11110100010010100001     2192
11110100010010100001     2208
11110100000111101110     2208
11110100000111101110     2224
11110011111101000111     2224
11110011111101000111     2240
11110011101101100100     2240
11110011101101100100     2256
11110011100011011111     2256
11110011100011011111     2272
11110011011001100010     2272
11110011011001100010     2288
11110011001111110010     2288
11110011001111110010     2304
11110011000001100000     2304
11110011000001100000     2320
11110010111000010001     2320
11110010111000010001     2336
11110010101111001111     2336
11110010101111001111     2352
11110010100110011001     2352
11110010100110011001     2368
11110010011110010011     2368
11110010011110010011     2384
11110010010001110000     2384
11110010010001110000     2400
11110010001001101001     2400
11110010001001101001     2416
11110010000001110001     2416
11110010000001110001     2432
11110001110110010100     2432
11110001110110010100     2448
11110001101110111110     2448
11110001101110111110     2464
11110001100111110111     2464
11110001100111110111     2480
11110001100000111111     2480
11110001100000111111     2496
11110001011010010110     2496
11110001011010010110     2512
11110001010000110000     2512
11110001010000110000     2528
11110001001010101010     2528
11110001001010101010     2544
11110001000100110000     2544
11110001000100110000     2560
11110000111100011001     2560
11110000111100011001     2576
11110000110111000111     2576
11110000110111000111     2592
11110000110010010000     2592
11110000110010010000     2608
11110000101101011100     2608
11110000101101011100     2624
11110000100110101001     2624
11110000100110101001     2640
11110000100010011001     2640
11110000100010011001     2656
11110000011110011011     2656
11110000011110011011     2672
11110000011010101100     2672
11110000011010101100     2688
11110000010101100011     2688
11110000010101100011     2704
11110000010010011010     2704
11110000010010011010     2720
11110000001111100010     2720
11110000001111100010     2736
11110000001100111000     2736
11110000001100111000     2752
11110000001001011000     2752
11110000001001011000     2768
11110000000111011000     2768
11110000000111011000     2784
11110000000101100110     2784
11110000000101100110     2800
11110000000100000110     2800
11110000000100000110     2816
11110000000010110110     2816
11110000000010110110     2832
11110000000001011010     2832
11110000000001011010     2848
11110000000000101110     2848
11110000000000101110     2864
11110000000000010100     2864
11110000000000010100     2880
11110000000000001000     2880
11110000000000001000     2896
11110000000000010100     2896
11110000000000010100     2912
11110000000000101110     2912
11110000000000101110     2928
11110000000001011010     2928
11110000000001011010     2944
11110000000010110110     2944
11110000000010110110     2960
11110000000100000110     2960
11110000000100000110     2976
11110000000101100110     2976
11110000000101100110     2992
11110000000111011000     2992
11110000000111011000     3008
11110000001010100000     3008
11110000001010100000     3024
11110000001100111000     3024
11110000001100111000     3040
11110000001111100010     3040
11110000001111100010     3056
11110000010010011010     3056
11110000010010011010     3072
11110000010101100011     3072
11110000010101100011     3088
11110000011010101100     3088
11110000011010101100     3104
11110000011110011011     3104
11110000011110011011     3120
11110000100010011001     3120
11110000100010011001     3136
11110000101000110111     3136
11110000101000110111     3152
11110000101101011100     3152
11110000101101011100     3168
11110000110010010000     3168
11110000110010010000     3184
11110000110111000111     3184
11110000110111000111     3200
11110000111111001000     3200
11110000111111001000     3216
11110001000100110000     3216
11110001000100110000     3232
11110001001010101010     3232
11110001001010101010     3248
11110001010000110000     3248
11110001010000110000     3264
11110001011010010110     3264
11110001011010010110     3280
11110001100000111111     3280
11110001100000111111     3296
11110001100111110111     3296
11110001100111110111     3312
11110001101110111110     3312
11110001101110111110     3328
11110001111010000100     3328
11110001111010000100     3344
11110010000001110001     3344
11110010000001110001     3360
11110010001001101001     3360
11110010001001101001     3376
11110010010001110000     3376
11110010010001110000     3392
11110010011110010011     3392
11110010011110010011     3408
11110010100110011001     3408
11110010100110011001     3424
11110010101111001111     3424
11110010101111001111     3440
11110010111000010001     3440
11110010111000010001     3456
11110011000110001111     3456
11110011000110001111     3472
11110011001111110010     3472
11110011001111110010     3488
11110011011001100010     3488
11110011011001100010     3504
11110011100011011111     3504
11110011100011011111     3520
11110011101101100100     3520
11110011101101100100     3536
11110011111101000111     3536
11110011111101000111     3552
11110100000111101110     3552
11110100000111101110     3568
11110100010010100001     3568
11110100010010100001     3584
11110100100011000110     3584
