xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx           x
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx      -65536
00000000000000011001101101011100      -65536
00000000000000011001101101011100      -64212
00000000000000011001101101011100      -62888
00000000000000011001101101011100      -61564
00000000000000011001101101011100      -60240
00000000000000010101010010001001      -60240
00000000000000010101010010001001      -58916
00000000000000010101010010001001      -57592
00000000000000010101010010001001      -56268
00000000000000010101010010001001      -54944
00000000000000010101010010001001      -53620
00000000000000010101010010001001      -52296
00000000000000010101011001010110      -52296
00000000000000010101011001010110      -50972
00000000000000010101011001010110      -49648
00000000000000010101011001010110      -48324
00000000000000010101011001010110      -47000
00000000000000010101011001010110      -45676
00000000000000010101011001010110      -44352
00000000000000010010010111100010      -44352
00000000000000010010010111100010      -43028
00000000000000010010010111100010      -41704
00000000000000010010010111100010      -40380
00000000000000010010010111100010      -39056
00000000000000010010010111100010      -37732
00000000000000010010010111100010      -36408
00000000000000010010010111100010      -35084
00000000000000010010010111010101      -35084
00000000000000010010010111010101      -33760
00000000000000010010010111010101      -32437
00000000000000010010010111010101      -31113
00000000000000010010010111010101      -29789
00000000000000010010010111010101      -28465
00000000000000010010010111010101      -27141
00000000000000010000100101000011      -27141
00000000000000010000100101000011      -25817
00000000000000010000100101000011      -24493
00000000000000010000100101000011      -23169
00000000000000010000100101000011      -21845
00000000000000010000100101000011      -20521
00000000000000010000100101000011      -19197
00000000000000010000100111011101      -19197
00000000000000010000100111011101      -17873
00000000000000010000100111011101      -16549
00000000000000010000100111011101      -15225
00000000000000010000100111011101      -13901
00000000000000010000100111011101      -12577
00000000000000010000100111011101      -11253
00000000000000010000100111011101       -9929
00000000000000001111111010101110       -9929
00000000000000001111111010101110       -8605
00000000000000001111111010101110       -7281
00000000000000001111111010101110       -5957
00000000000000001111111010101110       -4633
00000000000000001111111010101110       -3309
00000000000000001111111010101110       -1985
00000000000000001111111011000001       -1985
00000000000000001111111011000001        -661
00000000000000001111111011000001         661
00000000000000001111111011000110         661
00000000000000001111111011000110        1985
00000000000000001111111011000110        3309
00000000000000001111111010101101        3309
00000000000000001111111010101101        4633
00000000000000001111111010101101        5957
00000000000000001111111010101101        7281
00000000000000001111111010101101        8605
00000000000000001111111010101101        9929
00000000000000001111111010101101       11253
00000000000000010000100111100000       11253
00000000000000010000100111100000       12577
00000000000000010000100111100000       13901
00000000000000010000100111100000       15225
00000000000000010000100111100000       16549
00000000000000010000100111100000       17873
00000000000000010000100111100000       19197
00000000000000010000100111100000       20521
00000000000000010000100101000010       20521
00000000000000010000100101000010       21845
00000000000000010000100101000010       23169
00000000000000010000100101000010       24493
00000000000000010000100101000010       25817
00000000000000010000100101000010       27141
00000000000000010000100101000010       28465
00000000000000010010010111011000       28465
00000000000000010010010111011000       29789
00000000000000010010010111011000       31113
00000000000000010010010111011000       32437
00000000000000010010010111011000       33760
00000000000000010010010111011000       35084
00000000000000010010010111011000       36408
00000000000000010010010111100000       36408
00000000000000010010010111100000       37732
00000000000000010010010111100000       39056
00000000000000010010010111100000       40380
00000000000000010010010111100000       41704
00000000000000010010010111100000       43028
00000000000000010010010111100000       44352
00000000000000010010010111100000       45676
00000000000000010101011001011000       45676
00000000000000010101011001011000       47000
00000000000000010101011001011000       48324
00000000000000010101011001011000       49648
00000000000000010101011001011000       50972
00000000000000010101011001011000       52296
00000000000000010101011001011000       53620
00000000000000010101010010000101       53620
00000000000000010101010010000101       54944
00000000000000010101010010000101       56268
00000000000000010101010010000101       57592
00000000000000010101010010000101       58916
00000000000000010101010010000101       60240
00000000000000010101010010000101       61564
00000000000000011001101101011100       61564
00000000000000011001101101011100       62888
00000000000000011001101101011100       64212
00000000000000011001101101011100       65536
