xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx        0
00000000000011001110        0
00000000000011001110       16
00000000010011001111       16
00000000010011001111       32
00000000100011001101       32
00000000100011001101       48
00000000110011001100       48
00000000110011001100       64
00000001001011000110       64
00000001001011000110       80
00000001011001111110       80
00000001011001111110       96
00000001101001110111       96
00000001101001110111      112
00000001111001110000      112
00000001111001110000      128
00000010010001100010      128
00000010010001100010      144
00000010100001010101      144
00000010100001010101      160
00000010110001001000      160
00000010110001001000      176
00000011000000110110      176
00000011000000110110      192
00000011010000011011      192
00000011010000011011      208
00000011100111110100      208
00000011100111110100      224
00000011110111011000      224
00000011110111011000      240
00000100000110110111      240
00000100000110110111      256
00000100011101111110      256
00000100011101111110      272
00000100101101010010      272
00000100101101010010      288
00000100111100100001      288
00000100111100100001      304
00000101001011000010      304
00000101001011000010      320
00000101100001101010      320
00000101100001101010      336
00000101110000100111      336
00000101110000100111      352
00000101111111011111      352
00000101111111011111      368
00000110001110010000      368
00000110001110010000      384
00000110100100001111      384
00000110100100001111      400
00000110110010110000      400
00000110110010110000      416
00000111000001000100      416
00000111000001000100      432
00000111001111011000      432
00000111001111011000      448
00000111100100101001      448
00000111100100101001      464
00000111110010101011      464
00000111110010101011      480
00001000000000100101      480
00001000000000100101      496
00001000001110010111      496
00001000001110010111      512
00001000100010110010      512
00001000100010110010      528
00001000101111010101      528
00001000101111010101      544
00001000111100101001      544
00001000111100101001      560
00001001001001110110      560
00001001001001110110      576
00001001011101011000      576
00001001011101011000      592
00001001101010001100      592
00001001101010001100      608
00001001110110110110      608
00001001110110110110      624
00001010000011010111      624
00001010000011010111      640
00001010001111101001      640
00001010001111101001      656
00001010100001110111      656
00001010100001110111      672
00001010101101110101      672
00001010101101110101      688
00001010111001100111      688
00001010111001100111      704
00001011001010111110      704
00001011001010111110      720
00001011010001101010      720
00001011010001101010      736
00001011100010011111      736
00001011100010011111      752
00001011101101011111      752
00001011101101011111      768
00001011111000010010      768
00001011111000010010      784
00001100000010111001      784
00001100000010111001      800
00001100010010011100      800
