xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx           x
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx      -65536
11111111111111101011110011001110      -65536
11111111111111101011110011001110      -64212
11111111111111101011110011001110      -62888
11111111111111101011110011001110      -61564
11111111111111101011110011001110      -60240
11111111111111110001110110111110      -60240
11111111111111110001110110111110      -58916
11111111111111110001110110111110      -57592
11111111111111110001110110111110      -56268
11111111111111110001110110111110      -54944
11111111111111110001110110111110      -53620
11111111111111110001110110111110      -52296
11111111111111110001101100000101      -52296
11111111111111110001101100000101      -50972
11111111111111110001101100000101      -49648
11111111111111110001101100000101      -48324
11111111111111110001101100000101      -47000
11111111111111110001101100000101      -45676
11111111111111110001101100000101      -44352
11111111111111110110110100001001      -44352
11111111111111110110110100001001      -43028
11111111111111110110110100001001      -41704
11111111111111110110110100001001      -40380
11111111111111110110110100001001      -39056
11111111111111110110110100001001      -37732
11111111111111110110110100001001      -36408
11111111111111110110110100001001      -35084
11111111111111110110110100011011      -35084
11111111111111110110110100011011      -33760
11111111111111110110110100011011      -32437
11111111111111110110110100011011      -31113
11111111111111110110110100011011      -29789
11111111111111110110110100011011      -28465
11111111111111110110110100011011      -27141
11111111111111111011010100110001      -27141
11111111111111111011010100110001      -25817
11111111111111111011010100110001      -24493
11111111111111111011010100110001      -23169
11111111111111111011010100110001      -21845
11111111111111111011010100110001      -20521
11111111111111111011010100110001      -19197
11111111111111111011001100010000      -19197
11111111111111111011001100010000      -17873
11111111111111111011001100010000      -16549
11111111111111111011001100010000      -15225
11111111111111111011001100010000      -13901
11111111111111111011001100010000      -12577
11111111111111111011001100010000      -11253
11111111111111111011001100010000       -9929
11111111111111111111011000101101       -9929
11111111111111111111011000101101       -8605
11111111111111111111011000101101       -7281
11111111111111111111011000101101       -5957
11111111111111111111011000101101       -4633
11111111111111111111011000101101       -3309
11111111111111111111011000101101       -1985
11111111111111111111010000100010       -1985
11111111111111111111010000100010        -661
11111111111111111111010000100010         661
00000000000000000000101111011110         661
00000000000000000000101111011110        1985
00000000000000000000101111011110        3309
00000000000000000000100111010011        3309
00000000000000000000100111010011        4633
00000000000000000000100111010011        5957
00000000000000000000100111010011        7281
00000000000000000000100111010011        8605
00000000000000000000100111010011        9929
00000000000000000000100111010011       11253
00000000000000000100110011110000       11253
00000000000000000100110011110000       12577
00000000000000000100110011110000       13901
00000000000000000100110011110000       15225
00000000000000000100110011110000       16549
00000000000000000100110011110000       17873
00000000000000000100110011110000       19197
00000000000000000100110011110000       20521
00000000000000000100101011010000       20521
00000000000000000100101011010000       21845
00000000000000000100101011010000       23169
00000000000000000100101011010000       24493
00000000000000000100101011010000       25817
00000000000000000100101011010000       27141
00000000000000000100101011010000       28465
00000000000000001001001011100101       28465
00000000000000001001001011100101       29789
00000000000000001001001011100101       31113
00000000000000001001001011100101       32437
00000000000000001001001011100101       33760
00000000000000001001001011100101       35084
00000000000000001001001011100101       36408
00000000000000001001001011110111       36408
00000000000000001001001011110111       37732
00000000000000001001001011110111       39056
00000000000000001001001011110111       40380
00000000000000001001001011110111       41704
00000000000000001001001011110111       43028
00000000000000001001001011110111       44352
00000000000000001001001011110111       45676
00000000000000001110010011111011       45676
00000000000000001110010011111011       47000
00000000000000001110010011111011       48324
00000000000000001110010011111011       49648
00000000000000001110010011111011       50972
00000000000000001110010011111011       52296
00000000000000001110010011111011       53620
00000000000000001110001001000010       53620
00000000000000001110001001000010       54944
00000000000000001110001001000010       56268
00000000000000001110001001000010       57592
00000000000000001110001001000010       58916
00000000000000001110001001000010       60240
00000000000000001110001001000010       61564
00000000000000010100001100110010       61564
00000000000000010100001100110010       62888
00000000000000010100001100110010       64212
00000000000000010100001100110010       65536
