xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx     -160
11111111101010111111     -160
11111111101010111111     -156
11111111101010111111     -152
11111111101011000001     -152
11111111101011000001     -148
11111111101011000001     -144
11111111101011000111     -144
11111111101011000111     -140
11111111101011000111     -136
11111111101011010101     -136
11111111101011010101     -132
11111111101011000111     -132
11111111101011000111     -128
11111111101011010101     -128
11111111101011010101     -124
11111111101011010101     -120
11111111101011011101     -120
11111111101011011101     -116
11111111101011100011     -116
11111111101011100011     -112
11111111101011100011     -108
11111111101011100011     -104
11111111101011101011     -104
11111111101011101011     -100
11111111101011110001     -100
11111111101011110001      -96
11111111101011111001      -96
11111111101011111001      -92
11111111101011111111      -92
11111111101011111111      -88
11111111101100001101      -88
11111111101100001101      -84
11111111101100001101      -80
11111111101100011101      -80
11111111101100011101      -75
11111111101100100101      -75
11111111101100100101      -71
11111111101100011101      -71
11111111101100011101      -67
11111111101100110011      -67
11111111101100110011      -63
11111111101101001111      -63
11111111101101001111      -59
11111111101101010101      -59
11111111101101010101      -55
11111111101101110001      -55
11111111101101110001      -51
11111111101110000111      -51
11111111101110000111      -47
11111111101110000111      -43
11111111101110011101      -43
11111111101110011101      -38
11111111101111010101      -38
11111111101111010101      -34
11111111101111111001      -34
11111111101111111001      -30
11111111110000101011      -30
11111111110000101011      -26
11111111110001101011      -26
11111111110001101011      -22
11111111110010100011      -22
11111111110010100011      -18
11111111110101000111      -18
11111111110101000111      -14
11111111110101010001      -14
11111111110101010001      -10
11111111110111111101      -10
11111111110111111101       -6
11111111111011011001       -6
11111111111011011001       -2
11111111111110110101       -2
11111111111110110101        2
00000000000001001011        2
00000000000001001011        6
00000000000100100111        6
00000000000100100111       10
00000000001000001011       10
00000000001000001011       14
00000000001010110101       14
00000000001010110101       18
00000000001011101011       18
00000000001011101011       22
00000000001101100011       22
00000000001101100011       26
00000000001110011101       26
00000000001110011101       30
00000000001111010101       30
00000000001111010101       34
00000000010000001111       34
00000000010000001111       38
00000000010001000001       38
00000000010001000001       43
00000000010001111001       43
00000000010001111001       47
00000000010001111001       51
00000000010001111001       55
00000000010010010101       55
00000000010010010101       59
00000000010010110001       59
00000000010010110001       63
00000000010011000111       63
00000000010011000111       67
00000000010011001101       67
00000000010011001101       71
00000000010011100011       71
00000000010011100011       75
00000000010011100011       80
00000000010011101011       80
00000000010011101011       84
00000000010011111001       84
00000000010011111001       88
00000000010011111001       92
00000000010100000001       92
00000000010100000001       96
00000000010100000111       96
00000000010100000111      100
00000000010100010101      100
00000000010100010101      104
00000000010100011101      104
00000000010100011101      108
00000000010100011101      112
00000000010100100011      112
00000000010100100011      116
00000000010100100011      120
00000000010100100011      124
00000000010100110001      124
00000000010100110001      128
00000000010100110001      132
00000000010100111001      132
00000000010100111001      136
00000000010100110001      136
00000000010100110001      140
00000000010100111001      140
00000000010100111001      144
00000000010100111111      144
00000000010100111111      148
00000000010100111111      152
00000000010101000111      152
