xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx           x
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx      -64212
11111111111111110011111000000000      -64212
11111111111111110011111000000000      -62888
11111111111111110011111000000000      -61564
11111111111111110011111000000000      -60240
11111111111111110101011000000000      -60240
11111111111111110101011000000000      -58916
11111111111111110101011000000000      -57592
11111111111111110101011000000000      -56268
11111111111111110101011000000000      -54944
11111111111111110101011000000000      -53620
11111111111111110101011000000000      -52296
11111111111111110101011000000000      -50972
11111111111111110101011000000000      -49648
11111111111111110101011000000000      -48324
11111111111111110101011000000000      -47000
11111111111111110101011000000000      -45676
11111111111111110101011000000000      -44352
11111111111111110111111000000000      -44352
11111111111111110111111000000000      -43028
11111111111111110111111000000000      -41704
11111111111111110111111000000000      -40380
11111111111111110111111000000000      -39056
11111111111111110111111000000000      -37732
11111111111111110111111000000000      -36408
11111111111111110111111000000000      -35084
11111111111111111000001000000000      -35084
11111111111111111000001000000000      -33760
11111111111111111000001000000000      -32437
11111111111111111000001000000000      -31113
11111111111111111000001000000000      -29789
11111111111111111000001000000000      -28465
11111111111111111000001000000000      -27141
11111111111111111011111000000000      -27141
11111111111111111011111000000000      -25817
11111111111111111011111000000000      -24493
11111111111111111011111000000000      -23169
11111111111111111011111000000000      -21845
11111111111111111011111000000000      -20521
11111111111111111011111000000000      -19197
11111111111111111011111000000000      -17873
11111111111111111011111000000000      -16549
11111111111111111011111000000000      -15225
11111111111111111011111000000000      -13901
11111111111111111011111000000000      -12577
11111111111111111011111000000000      -11253
11111111111111111011111000000000       -9929
11111111111111111111111000000000       -9929
11111111111111111111111000000000       -8605
11111111111111111111111000000000       -7281
11111111111111111111111000000000       -5957
11111111111111111111111000000000       -4633
11111111111111111111111000000000       -3309
11111111111111111111111000000000       -1985
11111111111111111111111000000000        -661
11111111111111111111111000000000         661
00000000000000000000101000000000         661
00000000000000000000101000000000        1985
00000000000000000000101000000000        3309
00000000000000000000101000000000        4633
00000000000000000000101000000000        5957
00000000000000000000101000000000        7281
00000000000000000000101000000000        8605
00000000000000000000101000000000        9929
00000000000000000000101000000000       11253
00000000000000000100101000000000       11253
00000000000000000100101000000000       12577
00000000000000000100101000000000       13901
00000000000000000100101000000000       15225
00000000000000000100101000000000       16549
00000000000000000100101000000000       17873
00000000000000000100101000000000       19197
00000000000000000100101000000000       20521
00000000000000000100101000000000       21845
00000000000000000100101000000000       23169
00000000000000000100101000000000       24493
00000000000000000100101000000000       25817
00000000000000000100101000000000       27141
00000000000000000100101000000000       28465
00000000000000000111111000000000       28465
00000000000000000111111000000000       29789
00000000000000000111111000000000       31113
00000000000000000111111000000000       32437
00000000000000000111111000000000       33760
00000000000000000111111000000000       35084
00000000000000000111111000000000       36408
00000000000000001000001000000000       36408
00000000000000001000001000000000       37732
00000000000000001000001000000000       39056
00000000000000001000001000000000       40380
00000000000000001000001000000000       41704
00000000000000001000001000000000       43028
00000000000000001000001000000000       44352
00000000000000001000001000000000       45676
00000000000000001011101000000000       45676
00000000000000001011101000000000       47000
00000000000000001011101000000000       48324
00000000000000001011101000000000       49648
00000000000000001011101000000000       50972
00000000000000001011101000000000       52296
00000000000000001011101000000000       53620
00000000000000001011101000000000       54944
00000000000000001011101000000000       56268
00000000000000001011101000000000       57592
00000000000000001011101000000000       58916
00000000000000001011101000000000       60240
00000000000000001011101000000000       61564
00000000000000001100101000000000       61564
00000000000000001100101000000000       62888
00000000000000001100101000000000       64212
