xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx   -58982
11111011010010010100   -58982
11111011010010010100   -57790
11111011010010010100   -56599
11111011010010010100   -55407
11111011010010010100   -54216
11111011010010010100   -53024
11111011100000001110   -53024
11111011100000001110   -51833
11111011101101001100   -51833
11111011101101001100   -50641
11111011111001001110   -50641
11111011111001001110   -49449
11111100000100010000   -49449
11111100000100010000   -48258
11111100001111001100   -48258
11111100001111001100   -47066
11111100011000100010   -47066
11111100011000100010   -45875
11111100100010100100   -45875
11111100100010100100   -44683
11111100101010100010   -44683
11111100101010100010   -43492
11111100110011100100   -43492
11111100110011100100   -42300
11111100111011100010   -42300
11111100111011100010   -41108
11111101000011100010   -41108
11111101000011100010   -39917
11111101001010100010   -39917
11111101001010100010   -38725
11111101010010111000   -38725
11111101010010111000   -37534
11111101011000110100   -37534
11111101011000110100   -36342
11111101011111110010   -36342
11111101011111110010   -35151
11111101100110110100   -35151
11111101100110110100   -33959
11111101101100110010   -33959
11111101101100110010   -32768
11111101110010111100   -32768
11111101110010111100   -31576
11111101111010000000   -31576
11111101111010000000   -30384
11111101111111111110   -30384
11111101111111111110   -29193
11111110000101000010   -29193
11111110000101000010   -28001
11111110001010111110   -28001
11111110001010111110   -26810
11111110010000111110   -26810
11111110010000111110   -25618
11111110010110010100   -25618
11111110010110010100   -24427
11111110011100010000   -24427
11111110011100010000   -23235
11111110100001010010   -23235
11111110100001010010   -22043
11111110100110010010   -22043
11111110100110010010   -20852
11111110101011010000   -20852
11111110101011010000   -19660
11111110110001010000   -19660
11111110110001010000   -18469
11111110110110010100   -18469
11111110110110010100   -17277
11111110111011010010   -17277
11111110111011010010   -16086
11111111000000010000   -16086
11111111000000010000   -14894
11111111000101010100   -14894
11111111000101010100   -13702
11111111001001010010   -13702
11111111001001010010   -12511
11111111001110010000   -12511
11111111001110010000   -11319
11111111010011001110   -11319
11111111010011001110   -10128
11111111011000100100   -10128
11111111011000100100    -8936
11111111011100100010    -8936
11111111011100100010    -7745
11111111100001100100    -7745
11111111100001100100    -6553
11111111100110100100    -6553
11111111100110100100    -5362
11111111101010100010    -5362
11111111101010100010    -4170
11111111101111100010    -4170
11111111101111100010    -2978
11111111110100011110    -2978
11111111110100011110    -1787
11111111111000100100    -1787
11111111111000100100     -595
11111111111101100110     -595
11111111111101100110      595
00000000000010011010      595
00000000000010011010     1787
00000000000111011100     1787
00000000000111011100     2978
00000000001011100010     2978
00000000001011100010     4170
00000000010000011110     4170
00000000010000011110     5362
00000000010101011110     5362
00000000010101011110     6553
00000000011001011100     6553
00000000011001011100     7745
00000000011110011100     7745
00000000011110011100     8936
00000000100011011110     8936
00000000100011011110    10128
00000000100111011100    10128
00000000100111011100    11319
00000000101100110010    11319
00000000101100110010    12511
00000000110001110000    12511
00000000110001110000    13702
00000000110110101110    13702
00000000110110101110    14894
00000000111010101100    14894
00000000111010101100    16086
00000000111111110000    16086
00000000111111110000    17277
00000001000100101110    17277
00000001000100101110    18469
00000001001001101100    18469
00000001001001101100    19660
00000001001110110000    19660
00000001001110110000    20852
00000001010100110000    20852
00000001010100110000    22043
00000001011001101110    22043
00000001011001101110    23235
00000001011110101110    23235
00000001011110101110    24427
00000001100011110000    24427
00000001100011110000    25618
00000001101001101100    25618
00000001101001101100    26810
00000001101111000010    26810
00000001101111000010    28001
00000001110101000010    28001
00000001110101000010    29193
00000001111010111110    29193
00000001111010111110    30384
00000010000000000010    30384
00000010000000000010    31576
00000010000110000000    31576
00000010000110000000    32767
00000010001101000100    32767
00000010001101000100    33959
00000010010011001110    33959
00000010010011001110    35151
00000010011001001100    35151
00000010011001001100    36342
00000010100000001110    36342
00000010100000001110    37534
00000010100111001100    37534
00000010100111001100    38725
00000010101101001000    38725
00000010101101001000    39917
00000010110101011110    39917
00000010110101011110    41108
00000010111100011110    41108
00000010111100011110    42300
00000011000100011110    42300
00000011000100011110    43492
00000011001100011100    43492
00000011001100011100    44683
00000011010101011110    44683
00000011010101011110    45875
00000011011110100010    45875
00000011011110100010    47066
00000011100111011110    47066
00000011100111011110    48258
00000011110000110100    48258
00000011110000110100    49449
00000011111011110000    49449
00000011111011110000    50641
00000100000110110010    50641
00000100000110110010    51833
00000100010010110100    51833
00000100010010110100    53024
00000100011111110010    53024
00000100011111110010    54216
00000100101101101100    54216
00000100101101101100    55407
00000100101101101100    56599
00000100101101101100    57790
